,sp,d,fr,sk,sd,n,seed,dens,disc,mxmin,mnmax,eOpt,covCon,delaunayErrEst0.1,rbfErrEst0.1,gpErrEst0.1,delaunayIntError0.1,rbfIntError0.1,gpIntError0.1,mlpIntErr0.1,delaunayErrEst2.0,rbfErrEst2.0,gpErrEst2.0,delaunayIntError2.0,rbfIntError2.0,gpIntError2.0,mlpIntErr2.0
20,sob,5,0.0,10.0,1.0,1024,0,32.0,1.1967576231844292,0.0103008900833207,1.912155518741916,0.0235121749686824,0.0012726338013189,43.764667382231934,10.763021081816374,0.2617429299809828,0.0301788637429314,0.5105454806251268,0.0892986460924397,0.3670981396632601,197.61822304866968,204.15049173985847,0.2617429299809828,0.3671894339791922,0.3560615064972557,0.2534676108737319,18.14172405873752
21,sob,5,0.0,10.0,1.0,1024,1,32.0,1.196809776894832,0.0139949938248255,1.9122671757867125,0.023512149579684,0.0012726324555446,9.813059945523031,8.414794497993192,0.2600181053921219,0.0604721057810799,0.5015741026078119,0.0941282355828837,1.4320581066242877,51.2650329202077,101.05343438633096,0.2600181053921219,0.1988703461353547,0.6866299769144317,0.0859392381729061,3.8528948414179127
22,sob,5,0.0,10.0,1.0,1024,2,32.0,1.1967583009505929,0.0057836470974752,1.9105432234610944,0.0235121749690432,0.0012726338013385,34.93120880235632,10.460166885343662,0.2594714246948598,0.1013439671363022,0.5066817641861112,0.0827169520825095,1.0136649844296772,80.23131989707477,128.96176022392024,0.2594714246948598,0.1108083114586964,0.6875879139353807,0.141402326457695,6.225958131987792
23,sob,5,0.0,10.0,1.0,1024,3,32.0,1.196758163175346,0.0105444410972502,1.911851953167036,0.0235121749854903,0.0012726338022287,67.5731902879204,2.248564357500868,0.2609878222195924,0.0235986016571423,0.2659149140872349,0.0841653714593526,0.0130512680091522,333.6893802774012,302.1610317677839,0.2609878222195924,0.334572671190672,0.3478200645715595,0.312012890356529,13.624874792106702
24,sob,5,0.0,10.0,1.0,1024,4,32.0,1.196758272826147,0.0112349811130508,1.91062010386151,0.0235121749686823,0.0012726338013189,80.4696920970156,11.36078581501948,0.2655110502098015,0.0842035056986738,0.5391740307119469,0.0888556454455068,0.8150845161760834,84.91715780749313,78.50937238164406,0.2655110502098015,0.4969229772550882,0.9483584026562342,0.520831868573568,4.991232963705154
25,sob,5,0.0,10.0,1.0,16384,0,512.0,1.196758003596627,0.0037358095427006,1.8987833014875857,0.0940486998762694,0.0012726338013398,20.721704402939128,12.38470985770863,0.2676387870140185,0.0217844253592572,0.6453160958951558,0.0917649558005734,0.0298717767598006,384.57841161213264,235.10084418405648,0.2676387870140185,0.1692484364118697,0.5832980654819045,0.2510013011655981,0.1740016712698326
26,sob,5,0.0,10.0,1.0,16384,1,512.0,1.1967580013812218,0.0018614134039496,1.8987290937143213,0.0940486998762693,0.0012726338013398,9.131128076572171,10.086962033894832,0.2646984419786097,0.0187219641678994,0.5997232447709614,0.0939898516520694,0.042311795803419,32.36437324472093,121.20712669771868,0.2646984419786097,0.1988703461353547,0.8409466316192991,0.0860776221037205,0.0027272464975024
27,sob,5,0.0,10.0,1.0,16384,2,512.0,1.1967580010220944,0.0050555589051156,1.8990485856602872,0.0940486998762694,0.0012726338013398,218.33366113370093,11.923392028751536,0.2648935596751136,0.0447703642574043,0.667023256557971,0.0834807755722847,0.0377718127206719,156.33118296186183,147.06568816021675,0.2648935596751136,0.2639310639166106,0.7254819287979741,0.1406385029679197,0.8073073077575643
28,sob,5,0.0,10.0,1.0,16384,3,512.0,1.1967580008181944,0.0022383604904374,1.8984483552501064,0.0940486998762694,0.0012726338013398,48.08063508414304,2.4508552375362824,0.2660701645403805,0.0111179439072404,0.3068809171956839,0.0851793844760832,0.0003465150929607,383.742525581013,331.01391347626355,0.2660701645403805,0.3919630026166345,1.6544403328046138,0.3109988773397985,3.984492864764809
29,sob,5,0.0,10.0,1.0,16384,4,512.0,1.1967580003116698,0.0020210426949207,1.8992614433730333,0.0940486998762693,0.0012726338013398,657.9663922836522,12.99205852928718,0.2662412748758627,0.0507092237246064,0.6757794170924549,0.0884905331124762,0.0462622568067924,127.86845360980698,89.82721700565592,0.2662412748758627,0.5808923893928768,0.801179761992088,0.5211969809065986,0.3112559367895182
